query_id,beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
1023629,οδοντοτεχνικα εργαστηρια εγκωμiτησ & δημητριου λτδ,CY,Cyprus,project,,,,,,
1023628,αρχιτεκτονικο γραφειο ανδρεα μουκταρη / ειρενα διακου,CY,Cyprus,project,,,,,,
1023627,θερμοσίφωνες καύσων λτδ,CY,Cyprus,project,,,,,,
1023626,πανεπιστήμιο κύπρου,CY,Cyprus,project,,,,,,
1023625,οφθαλμολογικο κεντρο μαρια κρασια λτδ,CY,Cyprus,project,,,,,,
1023624,επιπλοποιειον & ξυλουργικεσ εργασιεσ αφοι π. καψουλη λτδ,CY,Cyprus,project,,,,,,
1023623,επιχειρησεισ/προϊον/0311/37,CY,Cyprus,project,,,,,,
1023622,επιχειρησεισ/προϊον/0311/06,CY,Cyprus,project,,,,,,
1023621,τουριστικές επιχειρήσεις ευθυμίου & κωνσταντίνου λτδ,CY,Cyprus,project,,,,,,
1023620,βρεφοκομικοσ παιδοκομικοσ σταθμοσ «παιδικη φωλια» / σπυρουλα περατικου,CY,Cyprus,project,,,,,,
1023619,χριστοδουλου κωνσταντινοσ / aurel dragomir,CY,Cyprus,project,,,,,,
1023618,κωνσταντινοσ κωνσταντινου,CY,Cyprus,project,,,,,,
1023617,τουβλοποιεια παλαικυθρου ο γιγασ λτδ,CY,Cyprus,project,,,,,,
1023616,κεραμοποιεια παλαικυθρου ο γιγασ λτδ,CY,Cyprus,project,,,,,,
1023615,κεραμοποιεια παλαικυθρου (κ.α.π.α) λτδ,CY,Cyprus,project,,,,,,
1023614,αναπτυξιακός οργανισμός τάλως λτδ,CY,Cyprus,project,,,,,,
1023613,μηχανουργεια τηλεμαχοσ ευσταθιου & υιοσ λτδ,CY,Cyprus,project,,,,,,
1023612,οδοντιατρειο φιλιπποσ λαμπριανου / βερονικα τσοποσιδου,CY,Cyprus,project,,,,,,
1023611,οδοντιατρειο φιλιπποσ λαμπριανου / ανθη κωνσταντινου,CY,Cyprus,project,,,,,,
1023610,βιβλιοδετειο κωστακησ αδαμου λτδ,CY,Cyprus,project,,,,,,
1023609,κεραμουργεια χρυσαφησ λτδ,CY,Cyprus,project,,,,,,
1023608,χριστόδουλος ματθαίου & υιοί λτδ,CY,Cyprus,project,,,,,,
1023607,κωνσταντινου πασχαλησ,CY,Cyprus,project,,,,,,
1023606,οδοντιατρειο σταυροσ κελογρηγορησ λιμιτεδ,CY,Cyprus,project,,,,,,
1023605,"παιδοκομικοσ σταθμοσ ""η κυψελη"" / ινεσα τζεϊρανιδου",CY,Cyprus,project,,,,,,
1023604,"παιδοκομικοσ σταθμοσ ""η κυψελη"" / ελενα ευθυμιου",CY,Cyprus,project,,,,,,
1023603,πανεπιστήμιο κύπρου: η-πανεπιστήμιο,CY,Cyprus,project,,,,,,
1023602,διαιτολογικο κεντρο σεληνιο λτδ,CY,Cyprus,project,,,,,,
1023601,επιχειρησεισ δαλικο λτδ,CY,Cyprus,project,,,,,,
1023600,επιχειρησεισ μελιοσ & παφιτησ λτδ,CY,Cyprus,project,,,,,,
1023599,πανεπιστήμιο κύπρου,CY,Cyprus,project,,,,,,
1023598,καραϊσκάκειο ίδρυμα,CY,Cyprus,project,,,,,,
1023597,επιπλοποιειο και ξυλουργειο ανδρεασ χαραλαμπουσ & yioi ltd,CY,Cyprus,project,,,,,,
1023596,φωτεινουπολη λτδ,CY,Cyprus,project,,,,,,
1023595,υαλοδυναμικη λτδ,CY,Cyprus,project,,,,,,
1023594,επιπλοποιειο δ. σωκρατουσ λτδ,CY,Cyprus,project,,,,,,
1023593,"θερμοσιφωνεσ ""φλογα"" πετροσ χ΄΄γιαννησ λτδ",CY,Cyprus,project,,,,,,
1023592,"βιβλιοπωλειο ""τα οκτωβριανα"" / τζανισ τζοχανεσ γκοπελ",CY,Cyprus,project,,,,,,
1023591,τυπογραφείο-λιθογραφείο ι.β. φελλούκας & υιοί λτδ,CY,Cyprus,project,,,,,,
1023590,"βιομηχανία επαγγελματικών ψυγείων ""ασπισ λτδ""",CY,Cyprus,project,,,,,,
1023589,ερωτοκρίτου κωνσταντίνος εκκλησιαστικά ξυλόγλυπτα λτδ,CY,Cyprus,project,,,,,,
1023588,τεχνολογικό πανεπιστήμιο κύπρου,CY,Cyprus,project,,,,,,
1023587,ηλεκτρονικό τεχνολογικό πανεπιστήμιο,CY,Cyprus,project,,,,,,
1023586,συνεργατικο ταμιευτηριο λαρνακασ λτδ / ανδρεασ παπαχρυσοστομου,CY,Cyprus,project,,,,,,
1023585,χριστοφοροσ χριστοφορου,CY,Cyprus,project,,,,,,
1023584,αλέξανδρος αλεξάνδρου,CY,Cyprus,project,,,,,,
1023583,τυπογραφικη επιχειρηση πετριδη λτδ,CY,Cyprus,project,,,,,,
1023582,ξυλουργείο σφηκουρή λτδ,CY,Cyprus,project,,,,,,
1023581,παραδοσιακα προϊοντα α.φ.χ. (κατσουρασ) λτδ / σουσανα χριστου,CY,Cyprus,project,,,,,,
1023580,χαράλαμπος κυριάκου,CY,Cyprus,project,,,,,,
1023579,κομμωτήριο ροδούλας,CY,Cyprus,project,,,,,,
1023578,ξυλουργικεσ εργασιεσ χαραλαμποσ κωστα & υιοι λτδ,CY,Cyprus,project,,,,,,
1023577,νηπιαγωγειο παιδικεσ καρδουλεσ / χριστινα καλλουσια,CY,Cyprus,project,,,,,,
1023576,ξυλουργικεσ εργασιεσ οδυσσεασ παναγη λτδ,CY,Cyprus,project,,,,,,
1023575,ξυλουργικές εργασίες δημήτρης & μιχάλης δημητρίου λτδ,CY,Cyprus,project,,,,,,
1023574,ξυλουργικεσ εργασιεσ κωστασ & ανδρεασ γεωργιου λτδ,CY,Cyprus,project,,,,,,
1023573,παιδιατρική εταιρεία κύπρου,CY,Cyprus,project,,,,,,
1023572,βιομηχανία επίπλων και πορτοπαραθύρων χαριδήμος & υιοί λτδ,CY,Cyprus,project,,,,,,
1023571,ξυλουργικεσ εργασιεσ α/φοι α. & χρ. τσαγγαρη λτδ,CY,Cyprus,project,,,,,,
1023570,ξυλουργικεσ εργασιεσ π. βασιλειου λτδ,CY,Cyprus,project,,,,,,
1023569,κτηνιατρικη κλινικη μαριοσ τορνου λιμιτεδ,CY,Cyprus,project,,,,,,
1023568,κτηνιατρικη κλινικη μαριοσ π. μιχαηλ λτδ,CY,Cyprus,project,,,,,,
1023567,κτηνιατρικη κλινικη ελιζα λοιζου λτδ/,CY,Cyprus,project,,,,,,
1023566,κτηνιατρικη κλινικη ευησ ανδρεου & σια λτδ/,CY,Cyprus,project,,,,,,
1023565,αρτοποιειον θημωνια λτδ,CY,Cyprus,project,,,,,,
1023564,"παραδοσιακη ταβερνα ""η αρετη 1 "" λτδ",CY,Cyprus,project,,,,,,
1023563,κομμωτήριο μαρίας,CY,Cyprus,project,,,,,,
1023562,ακουολογικό κέντρο κύπρου,CY,Cyprus,project,,,,,,
1023561,κατασκευές ηλυμετ λτδ,CY,Cyprus,project,,,,,,
1023560,πουγιούκας νίκος,CY,Cyprus,project,,,,,,
1023559,κωνσταντινα κουππη,CY,Cyprus,project,,,,,,
1023558,τυπογραφεια κωνοσ λτδ,CY,Cyprus,project,,,,,,
1023557,φωτοχρωματα λτδ/,CY,Cyprus,project,,,,,,
1023556,τυπογραφεια σ. λειβαδιωτη λτδ,CY,Cyprus,project,,,,,,
1023555,τυπογραφειο μ. βασιλειου,CY,Cyprus,project,,,,,,
1023554,καραφωτιάς sky cool λτδ,CY,Cyprus,project,,,,,,
1023553,"νηπιαγωγειο ""μικρεσ πατουσεσ λτδ""",CY,Cyprus,project,,,,,,
1023552,"τυπογραφεια ""κωνοσ"" λτδ",CY,Cyprus,project,,,,,,
1023551,"νηπιαγωγειο ""ο φαροσ"" / κυριακουλλα πετρακιδου",CY,Cyprus,project,,,,,,
1023550,"νηπιαγωγειο ""ο φαροσ"" / παναγιωτα κουαλη",CY,Cyprus,project,,,,,,
1023549,"νηπιαγωγειο ""η ζεστη φωλια"" / ευγενια χαραλαμπουσ",CY,Cyprus,project,,,,,,
1023548,"νηπιαγωγειο ""η ζεστη φωλια"" / ευθυμια παππα",CY,Cyprus,project,,,,,,
1023547,"νηπιαγωγειο ""η ζεστη φωλια"" / μαρια λαδοπουλη",CY,Cyprus,project,,,,,,
1023546,καινοτομια/κουπον/0311/23,CY,Cyprus,project,,,,,,
1023545,"κυριακιδου, λαμαρη δ.ε.π.ε. / ευαγγελια αγιομαμιτου",CY,Cyprus,project,,,,,,
1023544,"κυριακιδου, λαμαρη δ.ε.π.ε",CY,Cyprus,project,,,,,,
