query_id,beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
60,Es felelossegu hor kereskedelmi koll korlatolt szolgaltato tarsasag,HU,Hungary,project,,,,,,
61,2000 epitoipari es etalon felelossegu kereskedelmi korlatolt szervezo szolgaltato tarsasag tervezo,HU,Hungary,project,,,,,,
62,2000 es felelossegu ipari kereskedelmi korlatolt pack poly tarsasag,HU,Hungary,project,,,,,,
63,Alvicom es felelossegu kereskedelmi korlatolt szolgaltato tarsasag,HU,Hungary,project,,,,,,
64,Es felelossegu kereskedelmi korlatolt pir szolgaltato tarsasag,HU,Hungary,project,,,,,,
65,Bt dj k sutoipari,HU,Hungary,project,,,,,,
66,Epito epvill es felelossegu kereskedelmi korlatolt renk szolgaltato tarsasag villamosipari,HU,Hungary,project,,,,,,
67,Intezmenyi koszarhegy kozoktatasi szabadbattyan tarsulas urhida,HU,Hungary,project,,,,,,
68,Apex felelossegu gazdasagi korlatolt tanacsado tarsasag,HU,Hungary,project,,,,,,
69,Es felelossegu fenntarto kereskedelmi korlatolt soltut tarsasag utepito,HU,Hungary,project,,,,,,
70,Autoszerviz es kereskedelmi kft szolgaltato t z,HU,Hungary,project,,,,,,
71,Barlangkutato epitoipari es kft szolgaltato termeszetvedo zsomboly,HU,Hungary,project,,,,,,
72,Epitoipari es felelossegu korlatolt szameh szolgaltato tarsasag,HU,Hungary,project,,,,,,
73,97 es felelossegu kereskedelmi korlatolt letron szolgaltato tarsasag,HU,Hungary,project,,,,,,
74,1000 bazis es gyarto kereskedelmi kft szolgaltato,HU,Hungary,project,,,,,,
75,Egyesulet erdekvedelmi fekete komloi lang,HU,Hungary,project,,,,,,
76,Csepe elelmiszer es felelossegu korlatolt tarsai tarsasag vegyiaruforgalmazo,HU,Hungary,project,,,,,,
77,Boroka erdeszeti es innovacios kft kornyezetgazdalkodasi szolgaltato,HU,Hungary,project,,,,,,
78,1988 acs bau epitoipari kft,HU,Hungary,project,,,,,,
79,Es felelossegu korlatolt szecsi szolgaltato tanacsado tarsai tarsasag,HU,Hungary,project,,,,,,
80,Brunner kft sutoipari,HU,Hungary,project,,,,,,
