query_id,beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
1058726,malta employers association,MT,Malta,project,,,,,,
1058725,the curriculum management and e-learning department,MT,Malta,project,,,,,,
1058724,projects development and coordination unit,MT,Malta,project,,,,,,
1058723,regulator for energy and water services,MT,Malta,project,,,,,,
1058722,tourism sustainable development unit,MT,Malta,project,,,,,,
1058721,malta industrial parks ltd.,MT,Malta,project,,,,,,
1058720,malta air traffic services ltd.,MT,Malta,project,,,,,,
1058719,department of justice  						,MT,Malta,project,,,,,,
1058718,employment training corporation,MT,Malta,project,,,,,,
1058717,ministry for the family and social solidarity						,MT,Malta,project,,,,,,
1058716,dar guzeppa debono,MT,Malta,project,,,,,,
1058715,medical association of malta,MT,Malta,project,,,,,,
1058714,occupational health and safety authority (ohsa),MT,Malta,project,,,,,,
1058713,foundation for educational services,MT,Malta,project,,,,,,
1058712,active labour market policy counselling and monitoring committee,MT,Malta,project,,,,,,
1058711,management efficiency unit,MT,Malta,project,,,,,,
1058710,allied healthcare department						,MT,Malta,project,,,,,,
1058709,malta college of arts science & technology,MT,Malta,project,,,,,,
1058708,kummissjoni nazzjonali persuni b' dizabilita',MT,Malta,project,,,,,,
1058707,richmond foundation,MT,Malta,project,,,,,,
1058706,foundation for social welfare services,MT,Malta,project,,,,,,
1058705,megabyte ltd,MT,Malta,project,,,,,,
1058704,neptunes waterpolo & swimming club,MT,Malta,project,,,,,,
1058703,malta council for economic and social development,MT,Malta,project,,,,,,
1058702,university of malta,MT,Malta,project,,,,,,
1058701,kummissjoni nazzjonali ghal persuni b'dizabilita' (knpd),MT,Malta,project,,,,,,
1058700,sportmalta					,MT,Malta,project,,,,,,
1058699,recoop ltd - the restoration & conservation coop ltd,MT,Malta,project,,,,,,
1058698,teatru manoel,MT,Malta,project,,,,,,
1058697,ministry for energy and health (meh),MT,Malta,project,,,,,,
1058696,malta tourism authority,MT,Malta,project,,,,,,
1058695,grtu malta chamber of smes						,MT,Malta,project,,,,,,
1058694,kummissjoni nazzjonali persuni b'dizabilita ,MT,Malta,project,,,,,,
1058693,ministry for european affairs and implementation of the electoral manifesto,MT,Malta,project,,,,,,
1058692,union haddiema maghqudin,MT,Malta,project,,,,,,
1058691,ministry for the family and social solidarity,MT,Malta,project,,,,,,
1058690,"ministry of education, employment and the family",MT,Malta,project,,,,,,
1058689,office of the prime minister - chogm 15 taskforce						,MT,Malta,project,,,,,,
1058688,department for social welfare standards						,MT,Malta,project,,,,,,
1058687,ministry for gozo						,MT,Malta,project,,,,,,
1058686,sliema band club,MT,Malta,project,,,,,,
1058685,animal welfare directorate						,MT,Malta,project,,,,,,
1058684,employment training programme,MT,Malta,project,,,,,,
1058683,malta financial services authority						,MT,Malta,project,,,,,,
1058682,malta competition and consumer affairs authority,MT,Malta,project,,,,,,
1058681,malta film commission,MT,Malta,project,,,,,,
1058680,malta competition and consumer affairs authority (mccaa),MT,Malta,project,,,,,,
1058679,saura home ,MT,Malta,project,,,,,,
1058678,"water policy unit, ministry for energy and health						",MT,Malta,project,,,,,,
1058677,"malta college of arts, science and technology ",MT,Malta,project,,,,,,
1058676,adi associates environmental consultants ltd,MT,Malta,project,,,,,,
1058675,ministry for energy and health 						,MT,Malta,project,,,,,,
1058674,transport malta,MT,Malta,project,,,,,,
1058673,programme implementation directorate,MT,Malta,project,,,,,,
1058672,health promotion and disease prevention directorate,MT,Malta,project,,,,,,
1058671,ministry for european affairs and implementation of the electoral manifesto						,MT,Malta,project,,,,,,
1058670,occupational health and safety authority						,MT,Malta,project,,,,,,
1058669,department for local government,MT,Malta,project,,,,,,
1058668,malta qualifications council,MT,Malta,project,,,,,,
1058667,ghajnsielem band club,MT,Malta,project,,,,,,
1058666,ministry for energy and health						,MT,Malta,project,,,,,,
1058665,kirkop local council,MT,Malta,project,,,,,,
1058664,franciscan capuchin friary ,MT,Malta,project,,,,,,
1058663,malta tourism authority ,MT,Malta,project,,,,,,
1058662,malta enterprise corporation 						,MT,Malta,project,,,,,,
1058661,national commission for the promotion of equality (ncpe),MT,Malta,project,,,,,,
1058660,department for health regulation					,MT,Malta,project,,,,,,
1058659,foundation for information technology accessibility (fita),MT,Malta,project,,,,,,
1058658,malta enterprise ,MT,Malta,project,,,,,,
1058657,institute of tourism studies,MT,Malta,project,,,,,,
1058656,commission on domestic violence,MT,Malta,project,,,,,,
1058655,malta council for science and technology,MT,Malta,project,,,,,,
1058654,treasury department 						,MT,Malta,project,,,,,,
1058653,confederation of malta trade unions,MT,Malta,project,,,,,,
1058652,malta aviation museum foundation,MT,Malta,project,,,,,,
1058651,easy school of languages,MT,Malta,project,,,,,,
1058650,national commission for the promotion of equality,MT,Malta,project,,,,,,
1058649,malta communications authority,MT,Malta,project,,,,,,
1058648,the university of malta,MT,Malta,project,,,,,,
1058647,malta hospice movement,MT,Malta,project,,,,,,
1058646,private schools association,MT,Malta,project,,,,,,
1058645,paulo freire institute,MT,Malta,project,,,,,,
1058644,university of malta						,MT,Malta,project,,,,,,
1058643,"centre for development, research and training						",MT,Malta,project,,,,,,
1058642,st. jeanne antide foundation,MT,Malta,project,,,,,,
1058641,ministry for gozo,MT,Malta,project,,,,,,
1058640,department of health,MT,Malta,project,,,,,,
1058639,centre for policy research and training (cprt),MT,Malta,project,,,,,,
1058638,"malta postgraduate medical training centre, department of health",MT,Malta,project,,,,,,
1058637,the secretariat for catholic education archdiocese of malta,MT,Malta,project,,,,,,
1058636,employee relationship management directorate (pahro),MT,Malta,project,,,,,,
1058635,restoration directorate ,MT,Malta,project,,,,,,
1058634,ghaqda muzikali san gorg martri,MT,Malta,project,,,,,,
1058633,department of justice,MT,Malta,project,,,,,,
1058632,malta hotels and restuarants assocation (mhra),MT,Malta,project,,,,,,
1058631,internal audit and investigations department 						,MT,Malta,project,,,,,,
1058630,"malta college for arts, science and technology",MT,Malta,project,,,,,,
1058629,wasteserv malta ltd,MT,Malta,project,,,,,,
1058628,san pawl local council,MT,Malta,project,,,,,,
1058627,malta enterprise,MT,Malta,project,,,,,,
1058626,students services department,MT,Malta,project,,,,,,
1058625,"don bosco oratory, gozo",MT,Malta,project,,,,,,
1058624,national library of malta,MT,Malta,project,,,,,,
1058623,heritage malta,MT,Malta,project,,,,,,
1058622,kunsill malti ghall-isport (kms),MT,Malta,project,,,,,,
1058621,archdiocese of malta,MT,Malta,project,,,,,,
1058620,malta business bureau 						,MT,Malta,project,,,,,,
1058619,leone band club,MT,Malta,project,,,,,,
1058618,nng promotions,MT,Malta,project,,,,,,
1058617,training and development directorate						,MT,Malta,project,,,,,,
1058616,bishop's conservatory secondary school,MT,Malta,project,,,,,,
1058615,employment and training corporation,MT,Malta,project,,,,,,
1058614,strategy support directorate						,MT,Malta,project,,,,,,
1058613,ta' pinu national shrine,MT,Malta,project,,,,,,
1058612,ministry for energy and health ,MT,Malta,project,,,,,,
1058611,rehabilitation hospital karin grech,MT,Malta,project,,,,,,
1058610,ministry for home affairs and national security,MT,Malta,project,,,,,,
1058609,malta environment and planning authority ,MT,Malta,project,,,,,,
1058608,institute of conservation and management of cultural heritage,MT,Malta,project,,,,,,
1058607,armed forces of malta						,MT,Malta,project,,,,,,
1058606,directorate for lifelong learning,MT,Malta,project,,,,,,
1058605,general workers' union						,MT,Malta,project,,,,,,
1058604,the malta council for science and technology (mcst),MT,Malta,project,,,,,,
1058603,ministry for energy and health	,MT,Malta,project,,,,,,
1058602,wasteserv malta ltd.,MT,Malta,project,,,,,,
1058601,beesmart childcare centre,MT,Malta,project,,,,,,
1058600,directorate for quality and standards education (dqse),MT,Malta,project,,,,,,
1058599,national commission for further and higher education,MT,Malta,project,,,,,,
1058598,ministry for education and employment					,MT,Malta,project,,,,,,
1058597,daughters of the sacred heart ,MT,Malta,project,,,,,,
1058596,"malta college of arts, science and technology",MT,Malta,project,,,,,,
1058595,department for social welfare standards,MT,Malta,project,,,,,,
1058594,malta information technology agency - mita						,MT,Malta,project,,,,,,
1058593,foundation for social welfare services - agenzija sapport,MT,Malta,project,,,,,,
1058592,teddies childcare centre,MT,Malta,project,,,,,,
1058591,water services corporation,MT,Malta,project,,,,,,
1058590,"ministry for sustainable development, the environment and climate change",MT,Malta,project,,,,,,
1058589,ministry for education and employment,MT,Malta,project,,,,,,
1058588,malta information technology agency,MT,Malta,project,,,,,,
1058587,curriculum management and e-learning department,MT,Malta,project,,,,,,
1058586,banif bank,MT,Malta,project,,,,,,
1058585,national commission for the promotion of equality 						,MT,Malta,project,,,,,,
