beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
" agrupamento de escolas de santa maria maior, viana do castelo",PT,Portugal,project,,Norte,,,,
''1000 paladares'' - produtos alimentares lda,PT,Portugal,project,,Norte,,,,
''de maos dadas''-associacao de solidariedade social,PT,Portugal,project,,Norte,,,,
''espiga''- cooperativa de solidariedade social crl,PT,Portugal,project,,Alentejo,,,,
'viver barroso' - ( associacao para o desenvolvimento social de barroso),PT,Portugal,project,,Norte,,,,
"11 malhas, lda",PT,Portugal,project,,Norte,,,,
"2 reis, lda",PT,Portugal,project,,Norte,,,,
365 - seguranca privada lda,PT,Portugal,project,,Centro,,,,
"3dc - intelligent nature, lda ",PT,Portugal,project,,Norte,,,,
"4 sat-comercio de telecomunicacoes, lda",PT,Portugal,project,,Centro,,,,
"4x4 - comercio de produtos electronicos e equipamentos para telecomunicacoes, lda.",PT,Portugal,project,,Norte,,,,
5 + 1 - produtos de higiene e limpeza lda,PT,Portugal,project,,Centro,,,,
5 rios - associacao agricola do valado dos frades,PT,Portugal,project,,Centro,,,,
"6 - rest - restauracao, lda.",PT,Portugal,project,,Norte,,,,
"7 - rest - restauracao, lda",PT,Portugal,project,,Norte,,,,
a ''benefica e previdente'' - associacao mutualista,PT,Portugal,project,,Norte,,,,
a 400 projectistas e consultores de engenharia civil lda,PT,Portugal,project,,Norte,,,,
a arcial assoc para recuperacao de criancas inadaptadas de oliveira do hospital,PT,Portugal,project,,Centro,,,,
a bolseira - industria de embalagem lda,PT,Portugal,project,,Centro,,,,
"a cimenteira do louro, s.a.",PT,Portugal,project,,Norte,,,,
a electrificadora s a,PT,Portugal,project,,Norte,,,,
a f s d associacao de familias solidarias com a deficiencia,PT,Portugal,project,,Centro,,,,
a familiar - associacao de socorros mutuos da povoa de varzim,PT,Portugal,project,,Norte,,,,
a familiar de grijo -  associacao mutualista ,PT,Portugal,project,,Norte,,,,
a fisga - infantario e jardim de infancia lda,PT,Portugal,project,,Norte,,,,
"a fornecedora, a. campos fonseca & costa sa",PT,Portugal,project,,Norte,,,,
a gralha - associacao para o desenvolvimento de porto covo,PT,Portugal,project,,Alentejo,,,,
a i d i a associacao independente para o desenvolvimento integrado de alpiarca,PT,Portugal,project,,Alentejo,,,,
a inovadora fiscalizacao preventiva de bens e servicos assessoria especializada lda,PT,Portugal,project,,Norte,,,,
a m p v - associacao de municipios portugueses do vinho,PT,Portugal,project,,Alentejo,,,,
a medida - associacao para formacao profissional,PT,Portugal,project,,Centro,,,,
a metalurgica - bakeware production sa,PT,Portugal,project,,Norte,,,,
a moreira & filhos lda,PT,Portugal,project,,Norte,,,,
a nossa historia - associacao de pais de apoio a pessoas com necessidades especiais,PT,Portugal,project,,Norte,,,,
a p p c - associacao do porto de paralisia cerebral,PT,Portugal,project,,Norte,,,,
"a penteadora-sociedade industrial de penteacao e fiacao de las,s.a.",PT,Portugal,project,,Centro,,,,
"a petala - comercio de flores e plantas artificiais, lda.",PT,Portugal,project,,Norte,,,,
"a ponte norte - cooperativa de ensino e desenvolvimento da ribeira grande, crl",PT,Portugal,project,,Região Autónoma dos Açores,,,,
a rectificadora de guimaraes - rectificacoes de motores lda,PT,Portugal,project,,Norte,,,,
"a relha - cooperativa de servicos, crl",PT,Portugal,project,,Norte,,,,
a rigorosa - cunhos e cortantes s.a.,PT,Portugal,project,,Lisboa,,,,
