query_id,beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
8831,"terrar - industria de mobiliario, s. a.",PT,Portugal,project,,Centro,,,,
8832,terras de marvao - associacao de desenvolvimento local,PT,Portugal,project,,Alentejo,,,,
8833,terras dentro- associacao para o desenvolvimento integrado ,PT,Portugal,project,,Alentejo,,,,
8834,terras do condestavel - associacao de desenvolvimento integrado ,PT,Portugal,project,,Alentejo,,,,
8835,"tervemar - malhas e confeccoes, lda.",PT,Portugal,project,,Norte,,,,
8836,"tese - associacao para o desenvolvimento pela tecnologia, engenharia, saude e educacao",PT,Portugal,project,,Lisboa,,,,
8837,tessimax - lanificio s.a.,PT,Portugal,project,,Centro,,,,
8838,"tetramold - industria de moldes, lda",PT,Portugal,project,,Norte,,,,
8839,tetrapi - centro de actividades educacionais sa,PT,Portugal,project,,Região Autónoma dos Açores,,,,
8840,"tetraplano - engenharia, lda",PT,Portugal,project,,Lisboa,,,,
8841,"tetriberica, s.a.",PT,Portugal,project,,Norte,,,,
8842,"texamerica texteis, lda",PT,Portugal,project,,Norte,,,,
8843,"texgoios - industria de confeccoes texteis, sa",PT,Portugal,project,,Norte,,,,
8844,"texirecupera - recuperacao de texteis, lda",PT,Portugal,project,,Norte,,,,
8845,texmin - textil do minho s.a.,PT,Portugal,project,,Norte,,,,
8846,texteis giestal lda,PT,Portugal,project,,Norte,,,,
8847,texteis penedo s.a.,PT,Portugal,project,,Norte,,,,
8848,"textil andre amaral, lda",PT,Portugal,project,,Norte,,,,
8849,textil antonio falcao s.a.,PT,Portugal,project,,Norte,,,,
8850,"textil caes de pedra, s.a.",PT,Portugal,project,,Norte,,,,
8851,"textil manuel rodrigues tavares, s.a.",PT,Portugal,project,,Centro,,,,
8852,textil marco sa,PT,Portugal,project,,Norte,,,,
8853,"textil tsuzuki, sa",PT,Portugal,project,,Norte,,,,
8854,"texto editores, lda",PT,Portugal,project,,Lisboa,,,,
8855,"texturesymbol - industria de confeccoes, lda",PT,Portugal,project,,Centro,,,,
8856,"texwool - lanificios, s.a.",PT,Portugal,project,,Centro,,,,
8857,tfgest gestao e comercio de produtos petroliferos lda,PT,Portugal,project,,Norte,,,,
8858,"the vintage house hotel, sa",PT,Portugal,project,,Norte,,,,
8859,the yeatman hotel lda,PT,Portugal,project,,Norte,,,,
8860,ti - tecnologia informatica sa,PT,Portugal,project,,Lisboa,,,,
8861,"timbercort, exploracao florestal, lda",PT,Portugal,project,,Norte,,,,
8862,"tinamar - tinturaria textil, s.a.",PT,Portugal,project,,Norte,,,,
8863,tinta com pinta lda,PT,Portugal,project,,Norte,,,,
8864,"tintas titan leme, s.a.",PT,Portugal,project,,Norte,,,,
8865,"tintex-tinturaria textil de cerveira, s.a.",PT,Portugal,project,,Norte,,,,
8866,tintojal - tinturaria e acabamentos lda,PT,Portugal,project,,Norte,,,,
8867,tinturaria rosarios quatro lda,PT,Portugal,project,,Centro,,,,
8868,tipografia do ave sa,PT,Portugal,project,,Norte,,,,
8869,"tipografia freitas - artes graficas, lda",PT,Portugal,project,,Norte,,,,
8870,"tipografia lousanense, lda",PT,Portugal,project,,Centro,,,,
8871,tipografia priscos lda,PT,Portugal,project,,Norte,,,,
8872,tisoauto pecas e acessorios lda,PT,Portugal,project,,Norte,,,,
8873,tlci 2 - solucoes integradas de telecomunicacoes sa,PT,Portugal,project,,Norte,,,,
8874,tlci-automoveis s.a.,PT,Portugal,project,,Norte,,,,
8875,tobago restauracao sa,PT,Portugal,project,,Lisboa,,,,
8876,"tobor-acessorios para a industria, lda ",PT,Portugal,project,,Norte,,,,
8877,toda a prova - organizacao de eventos desportivos lda,PT,Portugal,project,,Norte,,,,
8878,"tomarforma - consultoria de gestao, sociedade unipessoal, lda",PT,Portugal,project,,Centro,,,,
8879,"tomix - industria de equipamentos agricolas e industriais, lda",PT,Portugal,project,,Centro,,,,
