query_id,beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
1020668,sc solo prod srl,RO,Romania,project,,,,,,
1020667,sc solidaritatea 2003 srl,RO,Romania,project,,,,,,
1020666,sc solid engineering srl,RO,Romania,project,,,,,,
1020665,sc softwin srl bucuresti,RO,Romania,project,,,,,,
1020664,sc softronic srl craiova,RO,Romania,project,,,,,,
1020663,sc smithfieldprod srl,RO,Romania,project,,,,,,
1020662,sc smirodava sa,RO,Romania,project,,,,,,
1020661,sc sme oradea sa,RO,Romania,project,,,,,,
1020660,sc smart deepa srl,RO,Romania,project,,,,,,
1020659,sc smart choice s.r.l.,RO,Romania,project,,,,,,
1020658,sc smart business birotica & papetarie,RO,Romania,project,,,,,,
1020657,sc sma construct srl,RO,Romania,project,,,,,,
1020656,sc sitcoservice srl,RO,Romania,project,,,,,,
1020655,sc sisteme de management pegas srl,RO,Romania,project,,,,,,
1020654,sc sistem euroteh srl,RO,Romania,project,,,,,,
1020653,sc sirius com srl,RO,Romania,project,,,,,,
1020652,sc sirfit srl,RO,Romania,project,,,,,,
1020651,sc sirca sa,RO,Romania,project,,,,,,
1020650,sc sipex company srl,RO,Romania,project,,,,,,
1020649,sc sinterom sa,RO,Romania,project,,,,,,
1020648,sc sincom construct srl,RO,Romania,project,,,,,,
1020647,sc sinai srl,RO,Romania,project,,,,,,
1020646,sc simpromet srl iasi,RO,Romania,project,,,,,,
1020645,sc simo's dental limited srl,RO,Romania,project,,,,,,
1020644,sc simina srl,RO,Romania,project,,,,,,
1020643,sc simex plus srl,RO,Romania,project,,,,,,
1020642,sc simetex srl,RO,Romania,project,,,,,,
1020641,sc simcris srl,RO,Romania,project,,,,,,
1020640,sc simbac s.a,RO,Romania,project,,,,,,
1020639,sc simar industrial srl,RO,Romania,project,,,,,,
1020638,sc simacek cleaning srl,RO,Romania,project,,,,,,
1020637,sc simac impex trading srl,RO,Romania,project,,,,,,
1020636,sc silvo-com leresti srl,RO,Romania,project,,,,,,
1020635,sc silvesrom srl,RO,Romania,project,,,,,,
1020634,sc silvarom vest srl,RO,Romania,project,,,,,,
1020633,sc silvani srl,RO,Romania,project,,,,,,
1020632,sc siltech consult srl,RO,Romania,project,,,,,,
1020631,sc silpop training center s.r.l.,RO,Romania,project,,,,,,
1020630,sc silk contact srl,RO,Romania,project,,,,,,
1020629,sc sigma logistik srl,RO,Romania,project,,,,,,
1020628,sc sigma electronic srl,RO,Romania,project,,,,,,
1020627,sc sigapress srl,RO,Romania,project,,,,,,
1020626,sc sig tourism srl,RO,Romania,project,,,,,,
1020625,sc sfl technologies srl,RO,Romania,project,,,,,,
1020624,sc seva group srl,RO,Romania,project,,,,,,
1020623,sc setro metal group sa,RO,Romania,project,,,,,,
1020622,sc set prod-com srl,RO,Romania,project,,,,,,
1020621,sc servsistem srl,RO,Romania,project,,,,,,
1020620,sc servint srl,RO,Romania,project,,,,,,
1020619,sc senior software agency srl,RO,Romania,project,,,,,,
1020618,sc senior interactive srl,RO,Romania,project,,,,,,
1020617,sc semcor srl,RO,Romania,project,,,,,,
1020616,sc selina srl,RO,Romania,project,,,,,,
1020615,sc self trust srl,RO,Romania,project,,,,,,
1020614,sc seho prod srl,RO,Romania,project,,,,,,
1020613,sc seda-invest srl,RO,Romania,project,,,,,,
1020612,sc seda invest srl,RO,Romania,project,,,,,,
1020611,sc sed impex srl,RO,Romania,project,,,,,,
1020610,sc security guard group srl,RO,Romania,project,,,,,,
1020609,sc securit grup srl,RO,Romania,project,,,,,,
1020608,sc secol romania srl,RO,Romania,project,,,,,,
1020607,sc scudo serv srl,RO,Romania,project,,,,,,
1020606,sc scudetto srl,RO,Romania,project,,,,,,
1020605,sc scons serv srl,RO,Romania,project,,,,,,
1020604,sc scifcar sa,RO,Romania,project,,,,,,
1020603,sc schultz consulting srl,RO,Romania,project,,,,,,
1020602,sc schosswender mobel srl,RO,Romania,project,,,,,,
1020601,sc scania romania,RO,Romania,project,,,,,,
1020600,sc scala target srl,RO,Romania,project,,,,,,
1020599,sc savirod srl,RO,Romania,project,,,,,,
1020598,sc saviplast srl,RO,Romania,project,,,,,,
1020597,sc saucolemn s.r.l.,RO,Romania,project,,,,,,
1020596,sc sasu company srl,RO,Romania,project,,,,,,
1020595,sc sartorom impex srl,RO,Romania,project,,,,,,
1020594,sc sarmatec srl,RO,Romania,project,,,,,,
1020593,sc saratoga srl,RO,Romania,project,,,,,,
1020592,sc sara srl,RO,Romania,project,,,,,,
1020591,sc santa sa,RO,Romania,project,,,,,,
1020590,sc sano vita srl,RO,Romania,project,,,,,,
1020589,sc sanimed international impex srl,RO,Romania,project,,,,,,
1020588,sc san software srl brasov,RO,Romania,project,,,,,,
1020587,sc sampres sa,RO,Romania,project,,,,,,
1020586,sc saminstal srl,RO,Romania,project,,,,,,
1020585,sc samcif sa,RO,Romania,project,,,,,,
1020584,sc salv-metal srl,RO,Romania,project,,,,,,
1020583,sc salex.prod.com. srl,RO,Romania,project,,,,,,
1020582,sc sales consulting srl,RO,Romania,project,,,,,,
1020581,sc salamandra srl,RO,Romania,project,,,,,,
1020580,sc sagrada s.r.l.,RO,Romania,project,,,,,,
1020579,sc sadrom teh srl,RO,Romania,project,,,,,,
1020578,sc sacris impex srl,RO,Romania,project,,,,,,
1020577,sc s.u.t. carpati sa,RO,Romania,project,,,,,,
1020576,sc s.i.l.d.v.b com s.a.,RO,Romania,project,,,,,,
1020575,sc s&b comp srl,RO,Romania,project,,,,,,
1020574,sc rus savitar srl,RO,Romania,project,,,,,,
1020573,sc rupack srl,RO,Romania,project,,,,,,
1020572,sc runing tex srl,RO,Romania,project,,,,,,
1020571,sc rsc consulting srl,RO,Romania,project,,,,,,
1020570,sc rozmaring srl,RO,Romania,project,,,,,,
1020569,sc royalconstruct srl,RO,Romania,project,,,,,,
1020568,sc roxymir srl,RO,Romania,project,,,,,,
1020567,sc rovimcon company sa,RO,Romania,project,,,,,,
1020566,sc rottaprint srl,RO,Romania,project,,,,,,
1020565,sc rotsin prod com srl,RO,Romania,project,,,,,,
1020564,sc rotis lux srl,RO,Romania,project,,,,,,
1020563,sc rotherm srl,RO,Romania,project,,,,,,
1020562,sc roteca srl,RO,Romania,project,,,,,,
1020561,sc rotaprint srl,RO,Romania,project,,,,,,
1020560,sc rosticlar srl,RO,Romania,project,,,,,,
1020559,sc rossini sleeves technologies srl,RO,Romania,project,,,,,,
1020558,sc roseal sa,RO,Romania,project,,,,,,
1020557,sc rootsoft solutions srl,RO,Romania,project,,,,,,
1020556,sc ronest fly srl,RO,Romania,project,,,,,,
1020555,sc romy georgian 2005 srl,RO,Romania,project,,,,,,
1020554,sc romturingia srl,RO,Romania,project,,,,,,
1020553,sc romtexim srl,RO,Romania,project,,,,,,
1020552,sc romtehnic construct srl,RO,Romania,project,,,,,,
1020551,sc romtec sa,RO,Romania,project,,,,,,
1020550,sc romstrade sa,RO,Romania,project,,,,,,
1020549,sc romsoft srl,RO,Romania,project,,,,,,
1020548,sc romserv invest srl,RO,Romania,project,,,,,,
1020547,sc romseh tools srl,RO,Romania,project,,,,,,
1020546,sc romprodus srl,RO,Romania,project,,,,,,
1020545,sc rompeisaj srl,RO,Romania,project,,,,,,
1020544,sc romoil 2003 srl,RO,Romania,project,,,,,,
1020543,sc romferex import export srl,RO,Romania,project,,,,,,
1020542,sc romferchim srl,RO,Romania,project,,,,,,
1020541,sc romercato srl,RO,Romania,project,,,,,,
1020540,sc romconstruct top srl,RO,Romania,project,,,,,,
1020539,sc romconstruct alliance srl,RO,Romania,project,,,,,,
1020538,sc romconstruct ag srl,RO,Romania,project,,,,,,
1020537,sc romconfort design srl,RO,Romania,project,,,,,,
1020536,sc romcim impex srl,RO,Romania,project,,,,,,
