beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
national commission for the promotion of equality 						,MT,Malta,project,,,,,,
banif bank,MT,Malta,project,,,,,,
curriculum management and e-learning department,MT,Malta,project,,,,,,
malta information technology agency,MT,Malta,project,,,,,,
ministry for education and employment,MT,Malta,project,,,,,,
"ministry for sustainable development, the environment and climate change",MT,Malta,project,,,,,,
water services corporation,MT,Malta,project,,,,,,
teddies childcare centre,MT,Malta,project,,,,,,
foundation for social welfare services - agenzija sapport,MT,Malta,project,,,,,,
malta information technology agency - mita						,MT,Malta,project,,,,,,
department for social welfare standards,MT,Malta,project,,,,,,
"malta college of arts, science and technology",MT,Malta,project,,,,,,
daughters of the sacred heart ,MT,Malta,project,,,,,,
ministry for education and employment					,MT,Malta,project,,,,,,
national commission for further and higher education,MT,Malta,project,,,,,,
directorate for quality and standards education (dqse),MT,Malta,project,,,,,,
beesmart childcare centre,MT,Malta,project,,,,,,
wasteserv malta ltd.,MT,Malta,project,,,,,,
ministry for energy and health	,MT,Malta,project,,,,,,
the malta council for science and technology (mcst),MT,Malta,project,,,,,,
general workers' union						,MT,Malta,project,,,,,,
directorate for lifelong learning,MT,Malta,project,,,,,,
armed forces of malta						,MT,Malta,project,,,,,,
institute of conservation and management of cultural heritage,MT,Malta,project,,,,,,
malta environment and planning authority ,MT,Malta,project,,,,,,
ministry for home affairs and national security,MT,Malta,project,,,,,,
rehabilitation hospital karin grech,MT,Malta,project,,,,,,
ministry for energy and health ,MT,Malta,project,,,,,,
ta' pinu national shrine,MT,Malta,project,,,,,,
strategy support directorate						,MT,Malta,project,,,,,,
employment and training corporation,MT,Malta,project,,,,,,
bishop's conservatory secondary school,MT,Malta,project,,,,,,
training and development directorate						,MT,Malta,project,,,,,,
nng promotions,MT,Malta,project,,,,,,
leone band club,MT,Malta,project,,,,,,
malta business bureau 						,MT,Malta,project,,,,,,
archdiocese of malta,MT,Malta,project,,,,,,
kunsill malti ghall-isport (kms),MT,Malta,project,,,,,,
heritage malta,MT,Malta,project,,,,,,
national library of malta,MT,Malta,project,,,,,,
"don bosco oratory, gozo",MT,Malta,project,,,,,,
students services department,MT,Malta,project,,,,,,
malta enterprise,MT,Malta,project,,,,,,
san pawl local council,MT,Malta,project,,,,,,
