beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
"""sa sprijinim elevii sa invete experimentand"" - program pentru pregatirea elevilor si dobandirea competentelor cheie care sa le asigure succesul scolar si participarea viitoare pe piata muncii",RO,Romania,project,,,,,,
",,de la liceu la propria afacere''",RO,Romania,project,,,,,,
",,de la mic la mare catre mediul antreprenorial''",RO,Romania,project,,,,,,
11 am media net s.r.l.,RO,Romania,project,,,,,,
24 ianuarie sa,RO,Romania,project,,,,,,
3 up serv impex s.r.l.,RO,Romania,project,,,,,,
7 p marketing,RO,Romania,project,,,,,,
a & d divertis s.r.l.,RO,Romania,project,,,,,,
a w p impex srl,RO,Romania,project,,,,,,
a&b pharm corporation s.r.l.,RO,Romania,project,,,,,,
a&c proiecte si consultanta manageriala,RO,Romania,project,,,,,,
a.b.a. audit s.r.l.,RO,Romania,project,,,,,,
a.b.a.d. vet. s.r.l.,RO,Romania,project,,,,,,
a.c.o.r. asociatia nationala a comunelor din romania,RO,Romania,project,,,,,,
a.g. grupinstal srl,RO,Romania,project,,,,,,
aages s.r.l.,RO,Romania,project,,,,,,
ab plus events s.r.l.,RO,Romania,project,,,,,,
aba management s.r.l.,RO,Romania,project,,,,,,
abc international s.r.l.,RO,Romania,project,,,,,,
abc trading co s.r.l.,RO,Romania,project,,,,,,
abi automotion s.r.l. (fost speedy driver s.r.l.),RO,Romania,project,,,,,,
abraxas s.r.l.,RO,Romania,project,,,,,,
"academia de politie ""alexandru ioan cuza""",RO,Romania,project,,,,,,
academia de stiinte medicale,RO,Romania,project,,,,,,
academia de studii economice,RO,Romania,project,,,,,,
academia de studii economice (facultatea de management - catedra de administratie si management public),RO,Romania,project,,,,,,
"academia nationala de informatii ""mihai viteazul""",RO,Romania,project,,,,,,
"academia nationala de informatii ,,mihai viteazul""",RO,Romania,project,,,,,,
academia romana,RO,Romania,project,,,,,,
academia romana- filialacluj- napoca,RO,Romania,project,,,,,,
academiadestudiieconomicedinbucur esti,RO,Romania,project,,,,,,
acatrex srl,RO,Romania,project,,,,,,
accounting audit s.r.l.,RO,Romania,project,,,,,,
acellum srl,RO,Romania,project,,,,,,
aceti s.r.l.,RO,Romania,project,,,,,,
acoala nationala de studii politice si administrative,RO,Romania,project,,,,,,
acord de prestari servicii de consultanta intre mmfpspv si banca internationala pentru reconstructie si dezvoltare,RO,Romania,project,,,,,,
actavisromanias.r.l.,RO,Romania,project,,,,,,
activ audit s.r.l.,RO,Romania,project,,,,,,
active job consulting srl,RO,Romania,project,,,,,,
activemall s.r.l.,RO,Romania,project,,,,,,
ad media group s.r.l.,RO,Romania,project,,,,,,
ada & roby consulting s.r.l.,RO,Romania,project,,,,,,
ada electric s.r.l.,RO,Romania,project,,,,,,
adaf -asociatia pentru dezvoltarea antreprenoriatului feminin,RO,Romania,project,,,,,,
adarco invest s.r.l.,RO,Romania,project,,,,,,
adecco resurse umane,RO,Romania,project,,,,,,
adelmann com s.r.l.,RO,Romania,project,,,,,,
adera promotion srl,RO,Romania,project,,,,,,
adi sistemul urban baia mare,RO,Romania,project,,,,,,
adina s.r.l.,RO,Romania,project,,,,,,
adina srl,RO,Romania,project,,,,,,
adix technik s.r.l.,RO,Romania,project,,,,,,
administratia nationala a penitenciarelor,RO,Romania,project,,,,,,
administratia publica locala rasnov,RO,Romania,project,,,,,,
administratia rezervatiei biosferei delta dunarii,RO,Romania,project,,,,,,
administrativ business s.r.l.,RO,Romania,project,,,,,,
adn birou de arhitectura s.r.l,RO,Romania,project,,,,,,
adonis import export s.r.l,RO,Romania,project,,,,,,
adoxi srl,RO,Romania,project,,,,,,
adquest image s.r.l.,RO,Romania,project,,,,,,
advanta s.r.l.,RO,Romania,project,,,,,,
advertigo s.r.l.,RO,Romania,project,,,,,,
aeg tehnology s.r.l. (fost dunarea proiect grup s.r.l.),RO,Romania,project,,,,,,
aero part expert srl,RO,Romania,project,,,,,,
aerocenter s.r.l.,RO,Romania,project,,,,,,
aeroport craiova,RO,Romania,project,,,,,,
aeroport oradea,RO,Romania,project,,,,,,
aerostar sa,RO,Romania,project,,,,,,
aerotravel s.r.l.,RO,Romania,project,,,,,,
afrolatino events s.r.l.,RO,Romania,project,,,,,,
agache s.r.l.,RO,Romania,project,,,,,,
agasi s.r.l.,RO,Romania,project,,,,,,
agenda setting s.r.l.,RO,Romania,project,,,,,,
"agentia adventista pentru dezvoltare, refacere si ajutor - adra romania",RO,Romania,project,,,,,,
agentia dan design service srl,RO,Romania,project,,,,,,
agentia de administrare a retelei nationale de informatica pentru educatie si cercetare,RO,Romania,project,,,,,,
"agentia de dezvoltare comunitara ""impreuna""",RO,Romania,project,,,,,,
agentia internationala pentru prevenirea criminalitatii si politici de securitate,RO,Romania,project,,,,,,
agentia nationala a functionarilor publici,RO,Romania,project,,,,,,
agentia nationala antidrog,RO,Romania,project,,,,,,
