beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
"1. senior city, a. s.",SK,Slovakia,project,,,,,,
2j s.r.o.,SK,Slovakia,project,,,,,,
2u spol. s.r.o.,SK,Slovakia,project,,,,,,
3 m spol. s r.o.,SK,Slovakia,project,,,,,,
303 s. r. o.,SK,Slovakia,project,,,,,,
3ec international a.s.,SK,Slovakia,project,,,,,,
3log-in s.r.o.,SK,Slovakia,project,,,,,,
3u s.r.o.,SK,Slovakia,project,,,,,,
4 sport s.r.o.,SK,Slovakia,project,,,,,,
4-success,SK,Slovakia,project,,,,,,
"a & a consulting, s.r.o.",SK,Slovakia,project,,,,,,
"a p i a g r a , klimatizacia a vetranie, spol. s r",SK,Slovakia,project,,,,,,
"a r e s, s.r.o.",SK,Slovakia,project,,,,,,
"a.c.h., s. r. o.",SK,Slovakia,project,,,,,,
"a.s.partner, s. r. o.",SK,Slovakia,project,,,,,,
a.v. plus s.r.o.,SK,Slovakia,project,,,,,,
"a1synth, s. r. o.",SK,Slovakia,project,,,,,,
abovia,SK,Slovakia,project,,,,,,
"abra automaticke brany, s.r.o.",SK,Slovakia,project,,,,,,
accomm s. r. o.,SK,Slovakia,project,,,,,,
"acem, s.r.o.",SK,Slovakia,project,,,,,,
"acoding, s.r.o.",SK,Slovakia,project,,,,,,
action media,SK,Slovakia,project,,,,,,
"ad control, s.r.o.",SK,Slovakia,project,,,,,,
"adakar, s. r. o.",SK,Slovakia,project,,,,,,
adria - avp s.r.o.,SK,Slovakia,project,,,,,,
"adria gold slovakia, spol.s r.o.",SK,Slovakia,project,,,,,,
adustum,SK,Slovakia,project,,,,,,
"adverta slovakia, s.r.o.",SK,Slovakia,project,,,,,,
"advice & solution, s.r.o.",SK,Slovakia,project,,,,,,
aefes truck system spol. s.r.o.,SK,Slovakia,project,,,,,,
"af-car, s.r.o.",SK,Slovakia,project,,,,,,
afinis group s. r. o.,SK,Slovakia,project,,,,,,
afinox s.r.o.,SK,Slovakia,project,,,,,,
ag - bizuteria s.r.o,SK,Slovakia,project,,,,,,
ag foil s.r.o.,SK,Slovakia,project,,,,,,
aga priemyselny park s.r.o.,SK,Slovakia,project,,,,,,
agb ekoservis,SK,Slovakia,project,,,,,,
"agentura evka, s.r.o.",SK,Slovakia,project,,,,,,
agentura pro ekon. rozvoj vsetinska,SK,Slovakia,project,,,,,,
"agentura pro regionalni rozvoj, a. s.",SK,Slovakia,project,,,,,,
agentura zamestnanosti,SK,Slovakia,project,,,,,,
agnitio,SK,Slovakia,project,,,,,,
agripond s.r.o.,SK,Slovakia,project,,,,,,
agro cs slovakia,SK,Slovakia,project,,,,,,
"agro vos, s.r.o.",SK,Slovakia,project,,,,,,
agrorolstav s.r.o.,SK,Slovakia,project,,,,,,
"ags-si, s. r. o.",SK,Slovakia,project,,,,,,
"agt real, s.r.o.",SK,Slovakia,project,,,,,,
"ahp hydraulika, a.s.",SK,Slovakia,project,,,,,,
ajs management slovakia ,SK,Slovakia,project,,,,,,
"akademia komenskeho, o. z.",SK,Slovakia,project,,,,,,
akademia policaj. zboru v ba,SK,Slovakia,project,,,,,,
akademia vzdelavania,SK,Slovakia,project,,,,,,
akademia wellness,SK,Slovakia,project,,,,,,
"aktivny zivot, neziskova organizacia",SK,Slovakia,project,,,,,,
"albo, s.r.o.",SK,Slovakia,project,,,,,,
"alcasys slovakia, a.s.",SK,Slovakia,project,,,,,,
alena benesova - odema,SK,Slovakia,project,,,,,,
alena kublova-marlene,SK,Slovakia,project,,,,,,
"alfa bio, s.r.o.",SK,Slovakia,project,,,,,,
"alfa print, s.r.o.",SK,Slovakia,project,,,,,,
alfa sorti s.r.o.,SK,Slovakia,project,,,,,,
"alfip, s. r. o.",SK,Slovakia,project,,,,,,
"algiwo, s.r.o.",SK,Slovakia,project,,,,,,
"alian, s.r.o.",SK,Slovakia,project,,,,,,
aliancia zien slovenska,SK,Slovakia,project,,,,,,
"allea, n. o.",SK,Slovakia,project,,,,,,
allexis s. r. o.,SK,Slovakia,project,,,,,,
"allmedia, spol. s r.o.",SK,Slovakia,project,,,,,,
allvit s.r.o.,SK,Slovakia,project,,,,,,
alojz kuchar,SK,Slovakia,project,,,,,,
"alpha medical patologia, s.r.o.",SK,Slovakia,project,,,,,,
"alt, a.s.",SK,Slovakia,project,,,,,,
alternative energy,SK,Slovakia,project,,,,,,
"althan, s.r.o.",SK,Slovakia,project,,,,,,
"aluprint, s.r.o. ",SK,Slovakia,project,,,,,,
"alupro, s.r.o.",SK,Slovakia,project,,,,,,
"amareon, s.r.o.",SK,Slovakia,project,,,,,,
"ambropek, spol. s r.o.",SK,Slovakia,project,,,,,,
"ameno, s.r.o.",SK,Slovakia,project,,,,,,
ami spol. s.r.o.,SK,Slovakia,project,,,,,,
"amicus sk, s.r.o.",SK,Slovakia,project,,,,,,
"amo-plus, s.r.o.",SK,Slovakia,project,,,,,,
"amor, s.r.o.",SK,Slovakia,project,,,,,,
"ams com, spol. s.r.o.",SK,Slovakia,project,,,,,,
"amset, s.r.o.",SK,Slovakia,project,,,,,,
anaj slovakia s.r.o.,SK,Slovakia,project,,,,,,
anasoft apr s.r.o.,SK,Slovakia,project,,,,,,
anavek spol. s r.o.,SK,Slovakia,project,,,,,,
"andaco, s.r.o.",SK,Slovakia,project,,,,,,
anna dlubacova - dlukor,SK,Slovakia,project,,,,,,
anna pavlickova - fi pavanna,SK,Slovakia,project,,,,,,
anna smehilova effeta - chranena dielna,SK,Slovakia,project,,,,,,
"ano pre zivot, n.o.",SK,Slovakia,project,,,,,,
"anrico, s. r. o.",SK,Slovakia,project,,,,,,
"antares eurotrade, spol. s r.o",SK,Slovakia,project,,,,,,
"antec, s.r.o.",SK,Slovakia,project,,,,,,
anton homola - homola team,SK,Slovakia,project,,,,,,
aos gen.m.r.stefanika v lm,SK,Slovakia,project,,,,,,
"apartmany liptov, s.r.o.",SK,Slovakia,project,,,,,,
apel,SK,Slovakia,project,,,,,,
"apil, s.r.o.",SK,Slovakia,project,,,,,,
apis s r.o.,SK,Slovakia,project,,,,,,
apis spol. s r.o.,SK,Slovakia,project,,,,,,
apis spol. s.r.o.,SK,Slovakia,project,,,,,,
"aplik, spol. s r.o.",SK,Slovakia,project,,,,,,
aplitec,SK,Slovakia,project,,,,,,
applied precision s.r.o.,SK,Slovakia,project,,,,,,
"aqua pro, s.r.o.",SK,Slovakia,project,,,,,,
"archa,n.o.",SK,Slovakia,project,,,,,,
archeologicky ustav sav,SK,Slovakia,project,,,,,,
archiro,SK,Slovakia,project,,,,,,
"archiv sb, s.r.o.",SK,Slovakia,project,,,,,,
arcidiecezna charita ke,SK,Slovakia,project,,,,,,
"ardaco, a.s.",SK,Slovakia,project,,,,,,
"areko, s.r.o.",SK,Slovakia,project,,,,,,
"arena cedent, s.r.o.",SK,Slovakia,project,,,,,,
"ares, spol. s r.o.",SK,Slovakia,project,,,,,,
"argim, spol. s r.o.",SK,Slovakia,project,,,,,,
aristo,SK,Slovakia,project,,,,,,
"art & press, s.r.o.",SK,Slovakia,project,,,,,,
"artco, s.r.o.",SK,Slovakia,project,,,,,,
arte bene,SK,Slovakia,project,,,,,,
artra s.r.o.,SK,Slovakia,project,,,,,,
"artweger, spol. s r.o.",SK,Slovakia,project,,,,,,
asociacia pracovnikov,SK,Slovakia,project,,,,,,
asociacia rodin a rodinnych spolocenstiev na slove,SK,Slovakia,project,,,,,,
"asociacia ucitelov, rodicov a priatelov ",SK,Slovakia,project,,,,,,
"asseco central europe, a.s.",SK,Slovakia,project,,,,,,
assp,SK,Slovakia,project,,,,,,
"astap stavby, s.r.o.",SK,Slovakia,project,,,,,,
asu sav,SK,Slovakia,project,,,,,,
at - engineering spol. s r.o.,SK,Slovakia,project,,,,,,
"atea slovakia, s.r.o.",SK,Slovakia,project,,,,,,
"atin - ca, s.r.o.",SK,Slovakia,project,,,,,,
atos it solutions and services s.r.,SK,Slovakia,project,,,,,,
"attack, s.r.o.",SK,Slovakia,project,,,,,,
au bb,SK,Slovakia,project,,,,,,
"audaxus, spol. s r.o.",SK,Slovakia,project,,,,,,
auto palazzo,SK,Slovakia,project,,,,,,
autodoprava meduzova,SK,Slovakia,project,,,,,,
automobilovy klaster slovensko,SK,Slovakia,project,,,,,,
"automotive group sk, s.r.o.",SK,Slovakia,project,,,,,,
"autonovo, a.s.",SK,Slovakia,project,,,,,,
"autoprofit, s.r.o.",SK,Slovakia,project,,,,,,
