beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
community training services limited,UK,United Kingdom,project,England,South Yorkshire,,,,
m large tree services ltd,UK,United Kingdom,project,Northern Ireland,,,,,
csm consulting limited,UK,United Kingdom,project,England,West Midlands,,,,
derwentside college,UK,United Kingdom,project,England,Yorkshire,,,,
joint learning partnership limited,UK,United Kingdom,project,England,West Midlands,,,,
lincoln college,UK,United Kingdom,project,England,North East,,,,
baltic training services limited,UK,United Kingdom,project,England,Merseyside,,,,
cornwall air ambulance trust,UK,United Kingdom,project,England,Cornwall and the Isles of Scilly,,,,
department for work and pensions,UK,United Kingdom,project,England,South West,,,,
business to business exhibitions limited,UK,United Kingdom,project,England,London,,,,
apm (previously delivered by pertemps people development group),UK,United Kingdom,project,England,North East,,,,
seetec business technology centre limited,UK,United Kingdom,project,England,Merseyside,,,,
the headmasters partnership limited,UK,United Kingdom,project,England,London,,,,
derby college,UK,United Kingdom,project,England,South East,,,,
colchester institute,UK,United Kingdom,project,England,London,,,,
west nottinghamshire college,UK,United Kingdom,project,England,East of England,,,,
citb,UK,United Kingdom,project,England,South East,,,,
mitie group plc,UK,United Kingdom,project,England,East Midlands,,,,
edge innovate (ni) limited,UK,United Kingdom,project,Northern Ireland,,,,,
brighter prospects limited,UK,United Kingdom,project,England,South West,,,,
gower college swansea,UK,United Kingdom,project,Wales,Wales,,,,
baltic training services limited,UK,United Kingdom,project,England,North East,,,,
nichols training limited,UK,United Kingdom,project,England,West Midlands,,,,
skills training,UK,United Kingdom,project,England,South East,,,,
dunelm group plc,UK,United Kingdom,project,England,West Midlands,,,,
keenan seafood ltd,UK,United Kingdom,project,Northern Ireland,,,,,
saks (education) limited,UK,United Kingdom,project,England,South West,,,,
praxis care,UK,United Kingdom,project,Northern Ireland,,,,,
city of bristol college,UK,United Kingdom,project,England,Merseyside,,,,
greater manchester combined authority,UK,United Kingdom,project,England,North West,,,,
ultra spreader international ltd,UK,United Kingdom,project,Northern Ireland,,,,,
the northwest aerospace alliance,UK,United Kingdom,project,England,North West,,,,
the college of animal welfare limited,UK,United Kingdom,project,England,North East,,,,
highbury college portsmouth,UK,United Kingdom,project,England,South East,,,,
m t waste management & manufacturing ltd,UK,United Kingdom,project,Northern Ireland,,,,,
goodwin development trust ltd,UK,United Kingdom,project,England,Yorkshire,,,,
leicester college,UK,United Kingdom,project,England,South East,,,,
bae systems plc,UK,United Kingdom,project,England,South Yorkshire,,,,
archway academy,UK,United Kingdom,project,England,West Midlands,,,,
careers yorkshire and the humber limited,UK,United Kingdom,project,England,South Yorkshire,,,,
fearghas quinn t/a feaghas quinn hearses & limousines,UK,United Kingdom,project,Northern Ireland,,,,,
a4e ltd,UK,United Kingdom,project,England,West Midlands,,,,
nw universities european unit,UK,United Kingdom,project,England,North West,,,,
bin-ovation limited,UK,United Kingdom,project,Northern Ireland,,,,,
ncg,UK,United Kingdom,project,England,Yorkshire,,,,
futures training centres limited,UK,United Kingdom,project,England,South West,,,,
