query_id,beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
12126,"FORMAS & PESOS, LDA",PT,Portugal,project,,,,,,
12127,MUNICÍPIO DE PAÇOS DE FERREIRA,PT,Portugal,project,,,,,,
12128,"Scalconsult- Consultores, Lda",PT,Portugal,project,,,,,,
12129,"CONTROLCONSUL - CONSULTORIA, SERVIÇOS E REPRESENTAÇÕES LDA",PT,Portugal,project,,,,,,
12809,Centro Social Belverense,PT,Portugal,project,,,,,,
12810,Agrupamento de Escolas Lima de Freitas,PT,Portugal,project,,,,,,
12811,Alberto Dias Ribeiro & Filhos Lda,PT,Portugal,project,,,,,,
12812,Ventipower S.A,PT,Portugal,project,,,,,,
12813,Sociedade Portuguesa para a Qualidade na Saúde,PT,Portugal,project,,,,,,
12814,"PROMOVER- CONSULTORES,  LDA",PT,Portugal,project,,,,,,
12815,"Megafuturo-Formação e Informática, Lda.",PT,Portugal,project,,,,,,
12816,Associação Social Cultural e Desportiva de São Miguel do Mato,PT,Portugal,project,,,,,,
12817,Direcção Regional de Cultura do Alentejo / Ministério da Cultura,PT,Portugal,project,,,,,,
12130,"C.C.A. - Ceramica Culinária e Alimentar, S.A.",PT,Portugal,project,,,,,,
12131,"CICOMOL - COMÉRCIO E INDUSTRIA DE COMPONENTES PARA MOBILIÁRIO, SA",PT,Portugal,project,,,,,,
12132,VITOR DE ALMEIDA & FILHOS SA,PT,Portugal,project,,,,,,
12133,Novaprendiz - Associação,PT,Portugal,project,,,,,,
12134,"CARPNEU - SOCIEDADE COMERCIAL DE PNEUS E ACESSÓRIOS PARA AUTOMÓVEIS, S.A. ",PT,Portugal,project,,,,,,
12135,"INSTALFOGO - SISTEMAS CONTRA INCÊNDIOS, S.A.",PT,Portugal,project,,,,,,
12136,"Tomorrow - Mediação Imobiliária, Lda",PT,Portugal,project,,,,,,
12137,CONFECÇÕES ATILANO LDA,PT,Portugal,project,,,,,,
12138,Programa de Sucesso - Associação Cultural,PT,Portugal,project,,,,,,
7635,"Monteiro e Filhos, lda",PT,Portugal,project,,,,,,
7636,"MARGEM - FORMAÇÃO E CONSULTADORIA ECONÓMICA, SOCIEDADE UNIPESSOAL, LDA",PT,Portugal,project,,,,,,
7637,TLCI 2 - Soluções Integradas de Telecomunicações SA,PT,Portugal,project,,,,,,
7638,JOSÉ MARQUES GRACIO SA,PT,Portugal,project,,,,,,
7639,Associação Centro de Apoio a 3 Idade Santo Estevão de Chança,PT,Portugal,project,,,,,,
7640,ESCOLA SECUNDÁRIA DE CASCAIS,PT,Portugal,project,,,,,,
7641,"IGM - INDUSTRIA GLOBAL DE MOLDES, SA",PT,Portugal,project,,,,,,
7642,"Unidade Local de Saúde do Alto Minho, E.P.E.",PT,Portugal,project,,,,,,
7643,"Profunda Mudança, Lda",PT,Portugal,project,,,,,,
7644,TINTURARIA ROSARIOS QUATRO LDA,PT,Portugal,project,,,,,,
7645,SERRA DO SABER CENTRO DE ESTUDOS E FORMAÇÃO PROFISSIONAL LDA,PT,Portugal,project,,,,,,
7646,Santa Casa da Misericórdia de Vila Pouca de Aguiar,PT,Portugal,project,,,,,,
7647,"Escola Profissional de Santo Tirso, Sociedade Unipessoal Lda",PT,Portugal,project,,,,,,
7648,JULCAR MOBILIÁRIO INTEGRADO S.A.,PT,Portugal,project,,,,,,
7649,"ETSA - Investimentos, SGPS, S.A.",PT,Portugal,project,,,,,,
7650,"GALP ENERGIA, SA",PT,Portugal,project,,,,,,
7651,FAGAR FARO GESTÃO DE AGUAS E RESIDUOS E M,PT,Portugal,project,,,,,,
7652,R.T.S. - PREFABRICADOS DE BETÃO LDA,PT,Portugal,project,,,,,,
7653,"MANUEL MARQUES, HERDEIROS, S.A.",PT,Portugal,project,,,,,,
7654,TUFAMA CONSTRUCAO CIVIL LDA,PT,Portugal,project,,,,,,
